Time,Planet0_x,Planet1_x,Planet2_x,Planet3_x,Planet0_y,Planet1_y,Planet2_y,Planet3_y
0,-0.508452,-0.581041,0.495466,0.511368,0.10611,-0.191899,0.0852158,0.383459
0.01,-0.516979,-0.561441,0.490675,0.522446,0.111402,-0.181499,0.0708673,0.365836
0.02,-0.525518,-0.541372,0.48565,0.533179,0.115799,-0.168594,0.056963,0.347127
0.03,-0.533988,-0.521056,0.480415,0.54351,0.119216,-0.152959,0.0435116,0.327327
0.04,-0.542283,-0.50078,0.474996,0.553376,0.12156,-0.134344,0.0305226,0.306431
0.05,-0.550265,-0.480923,0.469419,0.562711,0.122732,-0.112484,0.018006,0.28443
0.06,-0.557749,-0.461989,0.463714,0.57144,0.12263,-0.0871101,0.00597204,0.261317
0.07,-0.564486,-0.444656,0.457912,0.579481,0.121166,-0.0579839,-0.0055684,0.237084
0.08,-0.570145,-0.429828,0.452051,0.586741,0.118282,-0.0249586,-0.0166043,0.211725
0.09,-0.574299,-0.418677,0.446171,0.593116,0.113999,0.0119005,-0.0271249,0.185235
0.1,-0.576424,-0.412637,0.440321,0.598486,0.108484,0.0521219,-0.0371202,0.157615
0.11,-0.575962,-0.413241,0.434557,0.602719,0.102143,0.0945743,-0.0465828,0.128875
0.12,-0.572468,-0.421709,0.428947,0.605662,0.0956891,0.137288,-0.05551,0.099032
0.13,-0.565834,-0.438342,0.423568,0.607142,0.0900774,0.177621,-0.0639066,0.068122
0.14,-0.556435,-0.462109,0.418511,0.606961,0.0862639,0.212936,-0.0717889,0.0362014
0.15,-0.54505,-0.490873,0.413878,0.604898,0.0848962,0.241443,-0.0791885,0.00335871
0.16,-0.532583,-0.52215,0.409779,0.600704,0.0861735,0.262587,-0.0861581,-0.0302728
0.17,-0.519808,-0.55381,0.406336,0.594108,0.0899314,0.276813,-0.0927779,-0.0644983
0.18,-0.507268,-0.584359,0.403671,0.584832,0.0958196,0.285076,-0.0991639,-0.0990413
0.19,-0.495291,-0.612892,0.401901,0.572608,0.103444,0.288452,-0.105477,-0.133523
0.2,-0.484054,-0.638924,0.401122,0.55722,0.112439,0.287936,-0.111928,-0.167449
0.21,-0.473632,-0.662242,0.40138,0.538557,0.122495,0.284371,-0.118782,-0.200205
0.22,-0.464046,-0.682795,0.402652,0.516675,0.133356,0.278448,-0.126341,-0.231089
0.23,-0.455281,-0.700619,0.404815,0.491852,0.144818,0.270721,-0.134917,-0.259375
0.24,-0.447309,-0.715798,0.40764,0.464607,0.156713,0.261634,-0.144787,-0.284417
0.25,-0.440093,-0.728439,0.410813,0.435659,0.168907,0.251548,-0.156148,-0.305749
0.26,-0.433592,-0.738656,0.413969,0.405836,0.181289,0.240752,-0.16908,-0.323164
0.27,-0.427767,-0.746564,0.416752,0.375956,0.193769,0.229485,-0.183545,-0.336727
0.28,-0.422582,-0.752273,0.418854,0.346725,0.206271,0.217946,-0.199405,-0.346721
0.29,-0.418001,-0.755887,0.420042,0.318686,0.218728,0.206302,-0.21646,-0.353572
0.3,-0.413993,-0.757502,0.420158,0.292208,0.231086,0.194693,-0.234484,-0.35777
0.31,-0.410528,-0.757207,0.419116,0.267506,0.243296,0.183243,-0.25325,-0.359803
0.32,-0.40758,-0.755083,0.41688,0.244675,0.255314,0.172062,-0.272546,-0.360124
0.33,-0.405125,-0.751205,0.413456,0.223722,0.267103,0.161245,-0.292188,-0.359132
0.34,-0.403142,-0.74564,0.408874,0.204596,0.278626,0.150881,-0.312015,-0.357169
0.35,-0.401612,-0.738449,0.403179,0.187212,0.28985,0.141054,-0.331895,-0.354518
0.36,-0.400517,-0.729689,0.396426,0.171461,0.300744,0.131841,-0.351715,-0.351416
0.37,-0.39984,-0.719413,0.388677,0.157221,0.311278,0.123319,-0.371384,-0.348056
0.38,-0.399567,-0.707667,0.379991,0.144371,0.321423,0.115564,-0.390826,-0.344595
0.39,-0.399684,-0.694496,0.370429,0.132787,0.331148,0.108651,-0.409979,-0.341159
0.4,-0.400178,-0.679943,0.360051,0.122347,0.340422,0.102659,-0.428795,-0.337852
0.41,-0.401036,-0.664047,0.348913,0.112937,0.349215,0.0976697,-0.44723,-0.334754
0.42,-0.402245,-0.646849,0.337067,0.104445,0.357492,0.0937709,-0.465252,-0.33193
0.43,-0.403793,-0.628388,0.324564,0.0967675,0.365217,0.0910567,-0.482834,-0.329431
0.44,-0.405664,-0.608709,0.311452,0.0898049,0.372351,0.0896304,-0.499954,-0.327296
0.45,-0.407844,-0.587858,0.297774,0.0834645,0.37885,0.0896064,-0.516594,-0.325553
0.46,-0.410312,-0.565889,0.283572,0.0776591,0.384666,0.0911128,-0.53274,-0.324223
0.47,-0.413047,-0.542869,0.268885,0.0723068,0.389743,0.0942942,-0.54838,-0.323319
0.48,-0.41602,-0.518877,0.253748,0.0673313,0.394018,0.0993156,-0.563504,-0.322846
0.49,-0.419193,-0.494019,0.238196,0.0626617,0.39742,0.106366,-0.578105,-0.322806
0.5,-0.422519,-0.468432,0.222261,0.0582323,0.399867,0.115662,-0.592178,-0.323195
0.51,-0.42593,-0.442302,0.205973,0.0539829,0.401265,0.127455,-0.605716,-0.324005
0.52,-0.429338,-0.415882,0.189362,0.0498587,0.401505,0.142031,-0.618717,-0.325225
0.53,-0.432617,-0.389522,0.172455,0.0458112,0.400467,0.159712,-0.631178,-0.326842
0.54,-0.435591,-0.363713,0.15528,0.0417976,0.39802,0.180848,-0.643097,-0.32884
0.55,-0.438017,-0.339141,0.137863,0.037781,0.394035,0.20579,-0.654475,-0.331206
0.56,-0.43955,-0.316758,0.120228,0.0337298,0.388404,0.234829,-0.665312,-0.333925
0.57,-0.439728,-0.297856,0.102399,0.0296168,0.381089,0.268061,-0.675612,-0.336987
0.58,-0.437957,-0.284077,0.0843997,0.0254174,0.372211,0.305161,-0.685377,-0.340383
0.59,-0.433574,-0.277256,0.0662498,0.0211083,0.362161,0.345048,-0.694611,-0.344107
0.6,-0.426028,-0.278922,0.0479692,0.0166659,0.351705,0.385622,-0.703319,-0.348152
0.61,-0.415157,-0.289524,0.0295757,0.0120664,0.341912,0.423942,-0.711505,-0.352513
0.62,-0.401381,-0.307917,0.011086,0.00728568,0.33385,0.457069,-0.719171,-0.357179
0.63,-0.385577,-0.331695,-0.00748371,0.00230072,0.328209,0.483106,-0.72632,-0.36214
0.64,-0.368728,-0.358161,-0.0261177,-0.0029097,0.325158,0.501579,-0.732953,-0.367382
0.65,-0.351639,-0.385111,-0.0448004,-0.00836427,0.324484,0.513073,-0.739072,-0.372892
0.66,-0.334849,-0.41107,-0.063516,-0.014079,0.325804,0.518634,-0.74468,-0.378658
0.67,-0.318673,-0.435185,-0.0822491,-0.0200677,0.328714,0.519368,-0.749777,-0.384666
0.68,-0.303275,-0.457015,-0.100984,-0.0263422,0.332858,0.516258,-0.754366,-0.390909
0.69,-0.288726,-0.476377,-0.119706,-0.032913,0.337939,0.510114,-0.75845,-0.397378
0.7,-0.275046,-0.493229,-0.1384,-0.0397899,0.343721,0.501585,-0.762031,-0.404068
0.71,-0.262226,-0.507605,-0.157052,-0.0469826,0.350019,0.491186,-0.765112,-0.410976
0.72,-0.250243,-0.51958,-0.175646,-0.0545007,0.356683,0.479328,-0.767695,-0.418101
0.73,-0.239069,-0.529243,-0.194168,-0.0623544,0.363597,0.466337,-0.769783,-0.425443
0.74,-0.228673,-0.53669,-0.212605,-0.0705551,0.370663,0.45248,-0.771379,-0.433006
0.75,-0.219025,-0.542014,-0.230942,-0.079115,0.377806,0.437973,-0.772484,-0.440791
0.76,-0.210094,-0.545306,-0.249166,-0.088048,0.38496,0.423,-0.7731,-0.448806
0.77,-0.201855,-0.546646,-0.26726,-0.0973698,0.392072,0.407712,-0.773228,-0.457055
0.78,-0.194283,-0.54611,-0.285211,-0.107098,0.399094,0.392241,-0.772869,-0.465546
0.79,-0.187356,-0.543767,-0.303003,-0.117252,0.405987,0.376704,-0.772022,-0.474288
0.8,-0.181054,-0.539678,-0.32062,-0.127855,0.412714,0.361203,-0.770686,-0.483289
0.81,-0.175358,-0.533899,-0.338044,-0.138934,0.419242,0.345832,-0.768861,-0.49256
0.82,-0.170254,-0.526481,-0.355256,-0.150516,0.425541,0.330678,-0.766542,-0.502111
0.83,-0.165726,-0.51747,-0.372236,-0.162636,0.431581,0.315823,-0.763728,-0.511956
0.84,-0.161762,-0.506907,-0.388961,-0.175332,0.437334,0.301349,-0.760413,-0.522107
0.85,-0.158351,-0.494831,-0.405405,-0.18865,0.442771,0.287335,-0.756592,-0.532579
0.86,-0.15548,-0.481277,-0.421539,-0.202642,0.447863,0.273861,-0.752259,-0.543387
0.87,-0.153141,-0.466281,-0.43733,-0.21737,0.452581,0.26101,-0.747408,-0.554549
0.88,-0.151324,-0.449876,-0.452737,-0.232908,0.456892,0.24887,-0.742029,-0.566082
0.89,-0.150019,-0.432095,-0.467715,-0.249347,0.460763,0.237533,-0.736114,-0.578007
0.9,-0.149217,-0.412975,-0.482206,-0.266796,0.464157,0.2271,-0.729654,-0.590344
0.91,-0.148906,-0.392553,-0.496141,-0.285394,0.467035,0.217681,-0.72264,-0.603113
0.92,-0.149075,-0.370873,-0.509431,-0.305322,0.469352,0.209398,-0.715065,-0.616333
0.93,-0.149709,-0.347983,-0.521963,-0.326815,0.471058,0.202388,-0.706926,-0.630014
0.94,-0.150791,-0.323945,-0.533584,-0.350195,0.4721,0.196804,-0.698227,-0.644147
0.95,-0.152298,-0.298829,-0.544082,-0.375918,0.472415,0.19282,-0.688995,-0.658681
0.96,-0.154201,-0.272728,-0.553149,-0.404656,0.471932,0.190632,-0.679304,-0.673459
0.97,-0.15646,-0.245757,-0.560312,-0.437454,0.470574,0.190464,-0.669343,-0.688062
0.98,-0.159025,-0.218069,-0.56482,-0.47598,0.46825,0.192568,-0.659634,-0.701332
0.99,-0.161825,-0.189865,-0.565617,-0.522594,0.464858,0.197231,-0.651721,-0.709807
1,-0.164765,-0.161415,-0.563047,-0.576511,0.460284,0.204773,-0.649635,-0.70443
1.01,-0.167713,-0.133084,-0.562651,-0.625246,0.454404,0.215544,-0.655399,-0.680664
1.02,-0.170488,-0.105377,-0.568593,-0.659427,0.447087,0.229913,-0.664724,-0.648175
1.03,-0.172841,-0.0789825,-0.579071,-0.683097,0.438205,0.248236,-0.673383,-0.61649
1.04,-0.174432,-0.0548404,-0.592034,-0.700866,0.42766,0.270794,-0.680554,-0.587474
1.05,-0.17481,-0.0341919,-0.606431,-0.715092,0.415427,0.297663,-0.686272,-0.56106
1.06,-0.173417,-0.0185765,-0.621713,-0.727,0.401628,0.328508,-0.690697,-0.5369
1.07,-0.169645,-0.00966982,-0.637567,-0.737287,0.386635,0.362312,-0.693978,-0.514666
1.08,-0.162993,-0.00885816,-0.653798,-0.746378,0.37114,0.397177,-0.696238,-0.494088
1.09,-0.153289,-0.0166163,-0.670278,-0.754552,0.356094,0.430489,-0.697573,-0.474953
1.1,-0.140847,-0.0320909,-0.686917,-0.761999,0.342467,0.459585,-0.698065,-0.45709
1.11,-0.126382,-0.0533194,-0.703647,-0.768853,0.330946,0.482576,-0.697776,-0.44036
1.12,-0.110751,-0.0779552,-0.72042,-0.775217,0.321798,0.498738,-0.696761,-0.424654
1.13,-0.0947063,-0.103931,-0.737195,-0.781165,0.314942,0.508297,-0.695065,-0.409881
1.14,-0.078799,-0.12974,-0.753941,-0.786759,0.31011,0.511999,-0.692726,-0.395967
1.15,-0.0633842,-0.154408,-0.770633,-0.792048,0.306975,0.510745,-0.689778,-0.382849
1.16,-0.0486722,-0.177359,-0.787249,-0.797073,0.305225,0.505398,-0.686249,-0.370476
1.17,-0.0347772,-0.198285,-0.803772,-0.801869,0.30459,0.496713,-0.682164,-0.358802
1.18,-0.0217536,-0.217036,-0.820186,-0.806465,0.304842,0.485318,-0.677545,-0.347788
1.19,-0.00962017,-0.233564,-0.836477,-0.810888,0.305795,0.47173,-0.672412,-0.337403
1.2,0.00162515,-0.247877,-0.852631,-0.815163,0.307296,0.456372,-0.666781,-0.327616
1.21,0.0119958,-0.260015,-0.868639,-0.819309,0.309221,0.439591,-0.660666,-0.318401
1.22,0.0215115,-0.270033,-0.884488,-0.823347,0.311466,0.421677,-0.654081,-0.309737
1.23,0.0301943,-0.277997,-0.900169,-0.827295,0.313945,0.40287,-0.647038,-0.301602
1.24,0.0380676,-0.283972,-0.91567,-0.83117,0.316582,0.383377,-0.639546,-0.29398
1.25,0.0451544,-0.288025,-0.930983,-0.834988,0.319316,0.363375,-0.631614,-0.286854
