time,x(t),x'(t)
0.01,0.735177,-1.48232
0.02,0.720353,-1.48243
0.03,0.705528,-1.48261
0.04,0.690701,-1.48286
0.05,0.675871,-1.48317
0.06,0.661037,-1.48355
0.07,0.6462,-1.48399
0.08,0.631357,-1.48448
0.09,0.61651,-1.48504
0.1,0.601656,-1.48564
0.11,0.586797,-1.4863
0.12,0.57193,-1.487
0.13,0.557057,-1.48775
0.14,0.542175,-1.48854
0.15,0.527286,-1.48937
0.16,0.512388,-1.49023
0.17,0.497481,-1.49113
0.18,0.482565,-1.49206
0.19,0.46764,-1.49301
0.2,0.452705,-1.494
0.21,0.43776,-1.495
0.22,0.422805,-1.49602
0.23,0.407839,-1.49705
0.24,0.392864,-1.4981
0.25,0.377877,-1.49915
0.26,0.362881,-1.50021
0.27,0.347873,-1.50128
0.28,0.332855,-1.50234
0.29,0.317826,-1.50339
0.3,0.302787,-1.50444
0.31,0.287738,-1.50547
0.32,0.272678,-1.50649
0.33,0.257608,-1.50749
0.34,0.242528,-1.50846
0.35,0.227439,-1.50941
0.36,0.21234,-1.51032
0.37,0.197233,-1.5112
0.38,0.182116,-1.51205
0.39,0.166992,-1.51285
0.4,0.15186,-1.5136
0.41,0.13672,-1.5143
0.42,0.121574,-1.51495
0.43,0.106421,-1.51553
0.44,0.0912633,-1.51606
0.45,0.0761004,-1.51651
0.46,0.0609333,-1.51689
0.47,0.0457628,-1.5172
0.48,0.0305896,-1.51742
0.49,0.0154146,-1.51756
0.5,0.000238704,-1.51761
0.51,-0.0149372,-1.51756
0.52,-0.0301122,-1.51742
0.53,-0.0452852,-1.51717
0.54,-0.0604552,-1.51681
0.55,-0.075621,-1.51634
0.56,-0.0907815,-1.51575
0.57,-0.105936,-1.51503
0.58,-0.121082,-1.5142
0.59,-0.136219,-1.51323
0.6,-0.151346,-1.51212
0.61,-0.166461,-1.51087
0.62,-0.181563,-1.50948
0.63,-0.19665,-1.50794
0.64,-0.211721,-1.50625
0.65,-0.226774,-1.50439
0.66,-0.241808,-1.50238
0.67,-0.256822,-1.5002
0.68,-0.271812,-1.49785
0.69,-0.286778,-1.49533
0.7,-0.301718,-1.49263
0.71,-0.31663,-1.48975
0.72,-0.331512,-1.48669
0.73,-0.346363,-1.48344
0.74,-0.36118,-1.48
0.75,-0.375962,-1.47637
0.76,-0.390707,-1.47254
0.77,-0.405413,-1.46852
0.78,-0.420077,-1.46429
0.79,-0.434698,-1.45987
0.8,-0.449274,-1.45525
0.81,-0.463802,-1.45042
0.82,-0.478281,-1.44538
0.83,-0.492709,-1.44015
0.84,-0.507083,-1.4347
0.85,-0.521402,-1.42906
0.86,-0.535664,-1.4232
0.87,-0.549866,-1.41714
0.88,-0.564006,-1.41088
0.89,-0.578083,-1.40442
0.9,-0.592094,-1.39775
0.91,-0.606037,-1.39089
0.92,-0.619911,-1.38382
0.93,-0.633713,-1.37656
0.94,-0.647441,-1.36911
0.95,-0.661095,-1.36147
0.96,-0.67467,-1.35364
0.97,-0.688167,-1.34562
0.98,-0.701582,-1.33742
0.99,-0.714915,-1.32905
1,-0.728162,-1.3205
1.01,-0.741324,-1.31178
1.02,-0.754398,-1.3029
1.03,-0.767382,-1.29386
1.04,-0.780274,-1.28465
1.05,-0.793074,-1.2753
1.06,-0.80578,-1.2658
1.07,-0.81839,-1.25615
1.08,-0.830902,-1.24636
1.09,-0.843316,-1.23645
1.1,-0.855631,-1.2264
1.11,-0.867844,-1.21623
1.12,-0.879955,-1.20594
1.13,-0.891962,-1.19553
1.14,-0.903865,-1.18502
1.15,-0.915662,-1.1744
1.16,-0.927353,-1.16368
1.17,-0.938936,-1.15287
1.18,-0.95041,-1.14196
1.19,-0.961775,-1.13097
1.2,-0.973029,-1.1199
1.21,-0.984172,-1.10876
1.22,-0.995204,-1.09754
1.23,-1.00612,-1.08625
1.24,-1.01693,-1.0749
1.25,-1.02762,-1.06349
1.26,-1.0382,-1.05203
1.27,-1.04866,-1.04051
1.28,-1.05901,-1.02895
1.29,-1.06924,-1.01734
1.3,-1.07936,-1.00569
1.31,-1.08935,-0.994008
1.32,-1.09924,-0.982289
1.33,-1.109,-0.970541
1.34,-1.11865,-0.958765
1.35,-1.12817,-0.946964
1.36,-1.13759,-0.935142
1.37,-1.14688,-0.923302
1.38,-1.15605,-0.911445
1.39,-1.16511,-0.899575
1.4,-1.17404,-0.887694
1.41,-1.18286,-0.875803
1.42,-1.19156,-0.863906
1.43,-1.20014,-0.852005
1.44,-1.2086,-0.8401
1.45,-1.21694,-0.828195
1.46,-1.22516,-0.816291
1.47,-1.23327,-0.80439
1.48,-1.24125,-0.792493
1.49,-1.24912,-0.780602
1.5,-1.25686,-0.768718
1.51,-1.26449,-0.756842
1.52,-1.272,-0.744977
1.53,-1.27939,-0.733122
1.54,-1.28666,-0.721279
1.55,-1.29382,-0.70945
1.56,-1.30085,-0.697634
1.57,-1.30777,-0.685834
1.58,-1.31457,-0.674049
1.59,-1.32125,-0.662281
1.6,-1.32781,-0.65053
1.61,-1.33426,-0.638797
1.62,-1.34059,-0.627082
1.63,-1.3468,-0.615387
1.64,-1.3529,-0.603711
1.65,-1.35888,-0.592055
1.66,-1.36474,-0.580419
1.67,-1.37048,-0.568804
1.68,-1.37611,-0.55721
1.69,-1.38163,-0.545638
1.7,-1.38703,-0.534087
1.71,-1.39231,-0.522557
1.72,-1.39748,-0.511049
1.73,-1.40253,-0.499564
1.74,-1.40747,-0.4881
1.75,-1.41229,-0.476659
1.76,-1.417,-0.465239
1.77,-1.4216,-0.453842
1.78,-1.42608,-0.442467
1.79,-1.43045,-0.431114
1.8,-1.4347,-0.419784
1.81,-1.43884,-0.408475
1.82,-1.44287,-0.397187
1.83,-1.44679,-0.385922
1.84,-1.45059,-0.374678
1.85,-1.45428,-0.363455
1.86,-1.45786,-0.352254
1.87,-1.46133,-0.341073
1.88,-1.46468,-0.329913
1.89,-1.46792,-0.318774
1.9,-1.47106,-0.307654
1.91,-1.47408,-0.296555
1.92,-1.47699,-0.285475
1.93,-1.47979,-0.274415
1.94,-1.48248,-0.263373
1.95,-1.48505,-0.252351
1.96,-1.48752,-0.241346
1.97,-1.48988,-0.23036
1.98,-1.49213,-0.219391
1.99,-1.49427,-0.208439
2,-1.4963,-0.197505
2.01,-1.49822,-0.186587
2.02,-1.50003,-0.175685
2.03,-1.50173,-0.164799
2.04,-1.50333,-0.153928
2.05,-1.50481,-0.143072
2.06,-1.50619,-0.132231
2.07,-1.50746,-0.121403
2.08,-1.50862,-0.110589
2.09,-1.50967,-0.0997888
2.1,-1.51061,-0.0890009
2.11,-1.51145,-0.0782253
2.12,-1.51218,-0.0674614
2.13,-1.5128,-0.056709
2.14,-1.51331,-0.0459673
2.15,-1.51372,-0.0352361
2.16,-1.51402,-0.0245148
2.17,-1.51421,-0.0138028
2.18,-1.51429,-0.0030998
2.19,-1.51427,0.00759481
2.2,-1.51414,0.0182815
2.21,-1.5139,0.0289608
2.22,-1.51356,0.0396332
2.23,-1.51311,0.0502993
2.24,-1.51256,0.0609596
2.25,-1.51189,0.0716145
2.26,-1.51112,0.0822647
2.27,-1.51025,0.0929106
2.28,-1.50926,0.103553
2.29,-1.50818,0.114192
2.3,-1.50698,0.124829
2.31,-1.50568,0.135463
2.32,-1.50427,0.146096
2.33,-1.50276,0.156728
2.34,-1.50114,0.16736
2.35,-1.49941,0.177993
2.36,-1.49758,0.188626
2.37,-1.49564,0.19926
2.38,-1.49359,0.209897
2.39,-1.49144,0.220536
2.4,-1.48918,0.231179
2.41,-1.48682,0.241825
2.42,-1.48434,0.252476
2.43,-1.48177,0.263132
2.44,-1.47908,0.273794
2.45,-1.47629,0.284462
2.46,-1.47339,0.295138
2.47,-1.47039,0.305821
2.48,-1.46728,0.316513
2.49,-1.46406,0.327213
2.5,-1.46073,0.337924
2.51,-1.4573,0.348645
2.52,-1.45376,0.359377
2.53,-1.45011,0.370121
2.54,-1.44636,0.380877
2.55,-1.44249,0.391647
2.56,-1.43852,0.402431
2.57,-1.43445,0.413229
2.58,-1.43026,0.424044
2.59,-1.42596,0.434874
2.6,-1.42156,0.445721
2.61,-1.41705,0.456587
2.62,-1.41243,0.467471
2.63,-1.4077,0.478374
2.64,-1.40286,0.489298
2.65,-1.39791,0.500243
2.66,-1.39286,0.51121
2.67,-1.38769,0.522199
2.68,-1.38241,0.533213
2.69,-1.37703,0.544251
2.7,-1.37153,0.555314
2.71,-1.36592,0.566404
2.72,-1.3602,0.577521
2.73,-1.35437,0.588667
2.74,-1.34843,0.599842
2.75,-1.34237,0.611047
2.76,-1.33621,0.622283
